Source,Target,Mean_CLR,Mean_DII,Observed_Diff,Empirical_p_value,FDR_adjusted_p_value,Significant
plasma cells,Tregs,0.0,8.067769261799113e-05,-8.067769261799113e-05,0.8691308691308691,1.0,No
plasma cells,CD8+ T cells,0.0008984601037434791,0.0022875879558946852,-0.0013891278521512061,0.2917082917082917,1.0,No
plasma cells,plasma cells,0.004325283693187633,0.012452823496232135,-0.008127539803044502,0.3546453546453546,1.0,No
plasma cells,adipocytes,0.00045599635202918376,0.0006756756756756757,-0.00021967932364649195,0.5154845154845155,1.0,No
plasma cells,CD68+CD163+ macrophages,0.006115673313122368,0.005159788260109397,0.0009558850530129708,0.6833166833166833,1.0,No
plasma cells,stroma,0.0040046002622759445,0.0017603238292886719,0.0022442764329872727,0.21978021978021978,1.0,No
CD8+ T cells,CD8+ T cells,0.007944469417475113,0.010712964893647496,-0.002768495476172384,0.2677322677322677,1.0,No
CD8+ T cells,plasma cells,0.000680646373587832,0.0014574282863444627,-0.0007767819127566306,0.3076923076923077,1.0,No
CD8+ T cells,adipocytes,0.00022311468094600627,0.00011148272017837236,0.00011163196076763391,0.997002997002997,1.0,No
CD8+ T cells,CD68+CD163+ macrophages,0.005171020479795713,0.009391613962955587,-0.004220593483159874,0.0899100899100899,1.0,No
CD8+ T cells,stroma,0.002574243944699666,0.002410133003295687,0.00016411094140397894,0.919080919080919,1.0,No
CD8+ T cells,tumor cells,0.002597368294486038,0.002150665853906832,0.00044670244057920614,0.7222777222777222,1.0,No
CD8+ T cells,CD4+ T cells CD45RO+,0.0036669944540208654,0.00202102673227344,0.0016459677217474256,0.2007992007992008,1.0,No
CD8+ T cells,vasculature,0.0009042555970083908,0.0004564648490291273,0.00044779074797926354,0.3126873126873127,1.0,No
CD8+ T cells,granulocytes,0.0017310814478161227,0.0017479917496129212,-1.691030179679846e-05,0.987012987012987,1.0,No
plasma cells,CD3+ T cells,0.0,0.0,0.0,1.0,1.0,No
plasma cells,CD163+ macrophages,0.0,0.0,0.0,1.0,1.0,No
plasma cells,CD4+ T cells GATA3+,0.0,0.0,0.0,1.0,1.0,No
